id,start_date,end_date,guest_id,total
1,2023-02-12,2023-02-14,194,510
2,2022-12-03,2022-12-04,412,318.75
3,2022-12-06,2022-12-12,451,1657.50
4,2022-12-14,2022-12-16,251,510
5,2022-10-11,2022-10-14,80,765
6,2022-04-17,2022-04-21,808,1020
7,2022-08-24,2022-08-29,534,1402.50
8,2022-04-07,2022-04-08,524,255
9,2023-02-25,2023-02-26,663,318.75
10,2022-11-05,2022-11-08,488,828.75
11,2022-09-01,2022-09-08,636,1912.50
12,2022-05-19,2022-05-22,34,892.50
13,2022-07-11,2022-07-17,74,1657.50
14,2022-09-10,2022-09-11,404,318.75
15,2022-10-29,2022-11-03,557,1338.75
16,2022-08-16,2022-08-18,39,510
