id,start_date,end_date,guest_id,total
1,2023-01-16,2023-01-19,946,597
2,2022-06-21,2022-06-28,346,1492.50
3,2023-03-15,2023-03-16,842,199
4,2022-10-07,2022-10-13,762,1293.50
5,2023-02-16,2023-02-17,816,199
6,2023-01-19,2023-01-21,850,447.75
7,2022-10-29,2022-11-04,99,1243.75
8,2022-11-21,2022-11-27,708,1293.50
9,2022-06-14,2022-06-20,549,1293.50
10,2022-05-26,2022-05-28,93,447.75
11,2022-11-28,2022-12-05,376,1492.50
12,2023-03-17,2023-03-18,555,248.75
13,2022-12-29,2022-12-31,653,447.75
14,2022-04-30,2022-05-04,1,845.75
15,2022-09-23,2022-09-24,804,248.75
