id,start_date,end_date,guest_id,total
1,2022-12-27,2022-12-28,176,144
2,2022-08-16,2022-08-18,133,288
3,2022-09-05,2022-09-09,783,576
4,2023-03-04,2023-03-08,651,612
5,2022-03-27,2022-03-31,616,576
6,2022-05-05,2022-05-06,941,144
7,2022-07-25,2022-07-30,216,756
8,2022-11-21,2022-11-26,496,756
9,2022-12-02,2022-12-06,903,648
10,2023-03-03,2023-03-04,584,180
11,2022-10-21,2022-10-23,887,360
12,2023-03-08,2023-03-15,409,1080
13,2022-09-13,2022-09-18,314,792
14,2023-02-21,2023-02-25,623,612
15,2022-10-17,2022-10-20,670,432
16,2022-04-27,2022-05-04,773,1080
17,2022-08-22,2022-08-23,697,144
18,2022-11-05,2022-11-09,439,612
19,2022-04-05,2022-04-10,41,792
20,2022-06-30,2022-07-03,136,504
