id,start_date,end_date,guest_id,total
1,2022-04-12,2022-04-15,946,234
2,2023-03-03,2023-03-05,292,195.0
3,2022-11-17,2022-11-23,44,507.0
4,2022-07-20,2022-07-24,777,351.0
5,2022-07-07,2022-07-08,250,78
6,2022-10-08,2022-10-12,273,331.5
7,2023-01-20,2023-01-24,73,351.0
8,2022-08-31,2022-09-04,880,351.0
9,2022-11-06,2022-11-13,165,585.0
10,2022-06-04,2022-06-09,724,409.5
11,2022-05-10,2022-05-13,267,234
12,2023-01-30,2023-01-31,527,78
13,2022-12-09,2022-12-10,360,97.5
14,2022-10-13,2022-10-19,26,507.0
15,2022-06-18,2022-06-23,430,409.5
16,2022-12-20,2022-12-25,774,429.0
17,2023-01-08,2023-01-10,18,156
18,2022-07-11,2022-07-17,513,507.0
