id,start_date,end_date,guest_id,total
1,2023-01-20,2023-01-26,582,2847.0
2,2022-12-25,2022-12-29,334,1752
3,2023-03-10,2023-03-13,534,1533.0
4,2022-07-21,2022-07-24,775,1533.0
5,2022-07-25,2022-07-28,734,1314
6,2022-10-31,2022-11-03,68,1314
7,2022-09-07,2022-09-14,250,3285.0
8,2022-08-15,2022-08-19,881,1752
9,2023-03-04,2023-03-10,281,2737.5
10,2022-08-29,2022-09-05,20,3285.0
11,2022-05-25,2022-05-29,46,1971.0
12,2022-12-23,2022-12-24,882,547.5
13,2022-06-12,2022-06-17,526,2190
14,2022-09-27,2022-09-29,564,876
15,2023-02-09,2023-02-12,795,1533.0
