id,start_date,end_date,guest_id,total
1,2023-03-09,2023-03-13,934,1579.50
2,2023-01-03,2023-01-09,20,2281.50
3,2022-04-16,2022-04-21,243,1842.75
4,2022-10-08,2022-10-11,800,1140.75
5,2022-04-11,2022-04-14,863,1053
6,2023-02-26,2023-02-27,125,351
7,2022-09-10,2022-09-16,461,2193.75
8,2022-12-15,2022-12-17,363,789.75
9,2022-09-18,2022-09-25,955,2632.50
10,2022-09-27,2022-09-30,301,1053
11,2022-05-16,2022-05-19,520,1053
12,2022-11-22,2022-11-26,141,1491.75
13,2023-02-08,2023-02-14,321,2281.50
14,2022-11-07,2022-11-11,704,1404
15,2022-07-30,2022-08-02,508,1140.75
16,2022-08-18,2022-08-21,833,1228.50
17,2022-08-21,2022-08-27,34,2193.75
