id,start_date,end_date,guest_id,total
1,2022-03-28,2022-03-29,961,476
2,2022-04-06,2022-04-09,956,1547
3,2022-12-11,2022-12-12,361,476
4,2022-04-12,2022-04-15,308,1428
5,2022-09-16,2022-09-19,764,1666
6,2022-11-10,2022-11-14,254,2142
7,2022-08-05,2022-08-12,522,3570
8,2022-12-18,2022-12-23,517,2380
9,2022-03-29,2022-04-03,302,2618
10,2023-02-19,2023-02-26,152,3570
11,2022-07-05,2022-07-12,582,3570
12,2023-01-11,2023-01-17,717,3094
13,2023-03-14,2023-03-18,908,2023
14,2023-02-10,2023-02-15,462,2618
15,2022-03-24,2022-03-26,386,1071
16,2022-06-14,2022-06-18,123,2023
17,2022-04-30,2022-05-04,572,2023
